UniversityName,Website,State,CostOnCampusOutOfState,CostOnCampusInState,CostOffCampusOutOfState,CostOffCampusInState,PercentAdmitted,UndergradEnrollment,NumAssociate,NumBachelor,SATReadWrite,SATMath,ACTComposite,GrandTotalUndergrad,ProgramEducation,ProgramEngineering,ProgramScience,ProgramMath,ProgramPhysicalScience,ProgramBusiness
A T Still University of Health Sciences,WWW.ATSU.EDU,MO,,,,,,0,0,0,,,,,,,,,,
Aaniiih Nakoda College,www.ancollege.edu,MT,,,8510,8510,,150,33,,,,,351,,,,,,
ABC Adult School,https://www.abcadultschool.com,CA,,,,,,90,0,,,,,337,,,,,,
ABC Adult School - Cabrillo Lane,,CA,,,,,,,,,,,,,,,,,,
ABC Beauty Academy,www.abcbeautyacademy.webs.com,TX,,,,,,33,0,,,,,103,,,,,,
ABCO Technology,www.abcotechnology.edu,CA,,,,,,65,0,,,,,105,,,,,,
Abcott Institute,www.abcott.edu,MI,,,,,,60,0,,,,,317,,,,,,
Abdill Career College Inc,www.abdill.com,OR,,,,,,,0,,,,,78,,,,,,
Abilene Christian University,www.acu.edu,TX,49722,49722,39372,39372,57,3538,5,703,530,510,21,3714,280,117,287,23,36,694
Abraham Baldwin Agricultural College,www.abac.edu,GA,22083,15345,14341,7603,69,4291,524,273,470,460,17,6347,165,,346,,,346
Abraham Lincoln University,https://www.alu.edu/,CA,,,,,,47,5,3,,,,41,,,,,,7
Academy College,www.academycollege.edu,MN,,,28363,28363,,99,15,8,,,,118,,,,,,3
Academy Di Capelli-School of Cosmetology,www.academydicapelli.com,CT,,,,,,208,0,,,,,271,,,,,,
Academy di Firenze,www.academydifirenze.com,ID,,,,,,14,0,,,,,25,,,,,,
Academy for Careers and Technology,www.mcact.org,SC,,,,,,41,0,,,,,44,,,,,,
Academy for Five Element Acupuncture,www.acupuncturist.edu,FL,,,,,,0,0,0,,,,,,,,,,
Academy for Jewish Religion-California,www.ajrca.edu,CA,,,,,,0,0,0,,,,,,,,,,
Academy for Nursing and Health Occupations,www.ANHO.edu,FL,,,,,,466,21,,,,,593,,,,,,
Academy for Salon Professionals,www.academyla.com/,CA,,,,,,81,0,,,,,146,,,,,,
Academy of Art University,www.academyart.edu,CA,44226,44226,28704,28704,,7051,203,994,,,,9827,71,,,,,117
Academy of Career Training,academyofcareertraining.com,FL,,,,,,46,0,,,,,200,,,,,,
Academy of Careers and Technology,www.wvact.net,WV,,,,,,155,0,,,,,188,,,,,,
Academy of Chinese Culture and Health Sciences,www.acchs.edu,CA,,,,,,0,0,0,,,,,,,,,,
Academy of Cosmetology,www.academycosmetology.com,MT,,,,,,35,0,,,,,44,,,,,,
Academy of Cosmetology,FLORIDACOSMETOLOGYSCHOOLS.COM,FL,,,,,,119,0,,,,,218,,,,,,
Academy of Cosmetology,www.cosmetologycareer.net/,WI,,,,,,,,,,,,,,,,,,
Academy of Cosmetology and Esthetics,acosmetology.com,MO,,,,,,28,0,,,,,36,,,,,,
Academy of Cosmetology and Esthetics NYC,www.theacademynyc.com,NY,,,,,,63,0,,,,,128,,,,,,
Academy of Esthetics and Cosmetology,www.aecosmetology.com,CA,,,,,,50,0,,,,,62,,,,,,
Academy of Hair Design-Beaumont,academyhairdesign.net,TX,,,,,,57,0,,,,,73,,,,,,
Academy of Hair Design-Grenada,www.academyofhair.com/grenada-campus,MS,,,,,,42,0,,,,,45,,,,,,
Academy of Hair Design-Jackson,www.academyofhair.com,MS,,,,,,53,0,,,,,77,,,,,,
Academy of Hair Design-Jasper,lufkinhairdesign.com,TX,,,,,,42,0,,,,,56,,,,,,
Academy of Hair Design-Las Vegas,www.ahdvegas.com/,NV,,,,,,225,0,,,,,383,,,,,,
Academy of Hair Design-Lufkin,lufkinhairdesign.com,TX,,,,,,84,0,,,,,141,,,,,,
Academy of Hair Design-Oklahoma City,www.academyofhairdesignok.com,OK,,,,,,38,0,,,,,66,,,,,,
Academy of Hair Design-Pearl,www.academyofhair.com,MS,,,,,,47,0,,,,,72,,,,,,
Academy of Hair Design-Springfield,aohd.com/,MO,,,,,,242,0,,,,,332,,,,,,
Academy of Hair Technology,www.hairchamps.com,SC,,,,,,77,0,,,,,131,,,,,,
Academy of Interactive Entertainment,https://www.aie.edu,WA,,,27165,27165,88,147,0,,,,,143,,,,,,
Academy of Interactive Entertainment,www.theaie.us/,LA,,,26769,26769,50,64,0,,,,,64,,,,,,
Academy of Massage and Bodywork,www.massage-academy.com,DE,,,,,,83,0,,,,,157,,,,,,
Academy of Natural Therapy Inc,www.natural-therapy.com,CO,,,,,,46,5,,,,,74,,,,,,
